編號,類型,標題,敘述,生物多樣性,經濟,公共信任,氣候,社會,觸發旗標,必須旗標,禁止旗標,延遲旗標,延遲回合
1,事件,遺傳、物種與生態系多樣性,生物多樣性包含遺傳多樣性、物種多樣性與生態系多樣性。,0,0,0,0,0,,,,,0
2,事件,人類對自然的依賴,人類的食、衣、住、行、醫藥及育樂等各方面，都直接或間接仰賴大自然提供。,0,0,0,0,0,,,,,0
3,事件,生物多樣性面臨的威脅,生物多樣性面臨人口問題、棲地破壞、過度開發利用、汙染、外來物種及氣候變遷等威脅。,0,0,0,0,0,,,,,0
4,事件,棲地變遷,火災、氣候變遷和人類開發等因素會改變棲地，進而影響棲息其中的生物。,0,0,0,0,0,,,,,0
5,事件,棲地流失,棲地的減少與破壞嚴重時可能導致物種面臨絕種危機。,0,0,0,0,0,,,,,0
6,事件,石虎棲地威脅,農田開墾與道路建設導致石虎棲地與人類活動範圍重疊，甚至喪失棲地。,0,0,0,0,0,,,,,0
7,事件,農用化學品,農藥與毒餌的施放破壞棲地，使石虎等生物的生存環境不再適合。,0,0,0,0,0,,,,,0
8,事件,棲地破碎化,道路開發切割石虎棲地，使面積縮減且破碎化，造成不必要的傷亡風險。,0,0,0,0,0,,,,,0
9,事件,過度採捕物種,野生動植物因觀賞、藥用或食用等目的被大量採獵，威脅其族群存續。,0,0,0,0,0,,,,,0
10,事件,過度漁撈,高度發展的漁業技術造成漁獲量逐年減少，若不控管，未來將無野生海鮮可食。,0,0,0,0,0,,,,,0
11,策略,永續資源利用,人類需以永續經營的觀念管理自然資源。,0,0,0,0,0,,,,,0
12,策略,漁業法規,臺灣法規對部分海產設有捕撈期與漁法限制，以保護海洋生物多樣性。,0,0,0,0,0,,,,,0
13,事件,空氣污染,空氣中含多種污染物，形成酸雨及破壞臭氧層，危害生物與建築。,0,0,0,0,0,,,,,0
14,事件,PM2.5健康風險,細懸浮微粒可穿透呼吸系統並進入血液，對人體健康造成嚴重威脅。,0,0,0,0,0,,,,,0
15,事件,污染物敏感性,卵、胚胎與幼體因保護功能不足，對污染物更易產生致命影響。,0,0,0,0,0,,,,,0
16,事件,水污染,生活汙水、農畜業廢水與工業廢水是主要水體污染源。,0,0,0,0,0,,,,,0
17,事件,優養化,氮、磷等營養物質過量引發藻類繁殖，導致水底缺氧並使水體混濁惡臭。,0,0,0,0,0,,,,,0
18,事件,生物放大作用,有毒物質經由食物鏈逐級累積，對高階消費者造成更大危害。,0,0,0,0,0,,,,,0
19,事件,水俁症,日本水俁市汞污染事件導致甲基汞中毒，對神經系統造成嚴重損害。,0,0,0,0,0,,,,,0
20,事件,外來物種入侵,外來生物遷入並大量繁殖，破壞生態平衡並威脅原生物種生存。,0,0,0,0,0,,,,,0
EV11,事件,外來種入侵,水道出現外來魚種，導致本土物種消失。,-10,0,-5,0,0,,,,0
EV12,事件,乾旱年發生,氣候異常導致農業受損與生態壓力。,-5,-10,-5,-10,0,,,,0
EV13,事件,國際援助計畫,因永續成果良好獲得國際補助與知識交流。,5,10,5,0,5,signedTreaty,,,,0
EV14,事件,環團抗議,社運人士反對大開發案，要求停止破壞生態。,-5,-5,10,0,5,,,,0
EV15,事件,紅樹林大火,乾燥天氣導致紅樹林起火，生態嚴重受損。,-15,-5,-5,-10,-5,,,,0
EV16,事件,保育物種繁殖成功,黑面琵鷺族群顯著增加，成為國際焦點。,15,5,10,0,0,sanctuaryEstablished,,,,0
EV17,事件,假訊息擴散,社群媒體謠言導致民眾恐慌，公共信任度大幅下降。,0,0,-15,0,-5,,,,0
EV18,事件,颱風重創沿海,強烈颱風破壞防風林與養殖設施，災情嚴重。,-10,-10,-5,-15,0,,,,0
EV19,事件,青年氣候罷課,學生發起全國罷課，要求政府重視氣候政策。,0,-5,15,5,5,climatePolicyNeglected,,,,0
EV20,事件,污染事件揭露,媒體揭露企業污染河川，民意反彈與監管壓力增加。,-5,-10,10,0,0,,,,0
EV21,事件,全球暖化擴散寄生蟲,地球持續升溫導致寄生蟲向高緯度地區擴散，危害生態與健康。,-10,0,0,-10,0,,,,0
EV22,事件,珊瑚白化,海水升溫與酸化使珊瑚礁大規模白化，影響珊瑚及其生態系。,-10,0,0,-5,0,,,,0
EV23,事件,生理時鐘異常,氣候不穩定導致昆蟲化蛹與植物開花時間錯亂，破壞生態週期互動。,-5,0,0,-5,0,,,,0
EV24,事件,洪水泛濫,極端降雨引發洪水，破壞棲地與基礎設施，影響社區與生態安全。,-10,-10,0,-10,-5,,,,0
SC21,策略,加入國際保育公約,簽署生物多樣性公約與CITES，強化保育政策與國際合作。,15,-5,0,0,0,,,,0
SC22,策略,設立自然保留區,劃設高保護等級區域，禁止所有開發活動。,20,-10,0,0,0,,,,0
SC23,策略,推動公民科學計畫,鼓勵民眾參與如「路殺社」等生物監測行動。,10,0,0,0,0,,,,0
SC24,策略,推行環保認證商品,提倡選購永續農業及環保認證產品。,5,-2,0,0,0,,,,0
SC25,策略,進行森林復育,在受災區域植林，恢復自然棲地與水土平衡。,15,-3,0,0,0,,,forestRecoveryInProgress,2
SC26,策略,社區教育計畫,在社區中推廣保育知識與行動。,5,0,0,0,0,,,,0
SC27,策略,推動綠建築政策,建築屋頂或牆面種植植物，減少室內耗能。,5,-1,0,0,0,,,,0
SC28,策略,推動永續發展政策,在生態保育與經濟發展間尋求平衡，制定並落實兼顧雙方需求的政策。,10,10,0,0,0,,,,0
SC29,策略,推動公民綠色行動,鼓勵不任意棄養放生、選購永續認證商品、使用大眾運輸及減少塑膠製品，提高公民參與度。,8,0,0,0,0,,,,0
SC30,策略,設立野生動物保護區,為野生動物及重要棲息環境劃設保護區，防止人為干擾與棲地破壞。,15,-8,0,0,0,,,,0
SC31,策略,設立國家公園,保護代表性自然景觀與野生動植物，並提供教育與研究場所。,20,-15,0,0,0,,,,0
SC32,策略,設立自然保護區,調查並保護生態資源，推廣保育觀念與政策落實。,12,-4,0,0,0,,,,0
SC33,策略,推動水土保持措施,透過植被覆蓋與工程設施穩固土壤，減緩水土流失並維護水質。,10,-2,0,0,0,,,,0
SC34,策略,城市綠化與空氣淨化,大規模植栽淨化空氣、吸附懸浮微粒並吸收二氧化碳，改善城市環境。,8,-5,0,0,0,,,,0
SC35,策略,實施森林可持續管理,參考國際森林管理目標，減少亂砍濫伐、維護原生森林並恢復受損林地。,12,-4,0,0,0,,,,0
