車次,內灣,富貴,合興,九讚頭,橫山,竹東,榮華,上員,竹中,新莊,千甲,北新竹,新竹
1801,5:13,5:17,5:21,5:26,5:30,5:45,5:49,5:55,6:01,6:04,6:08,6:12,6:17
1803,6:07,6:11,6:15,6:20,6:24,6:32,6:36,6:42,6:48,6:51,6:55,7:00,7:05
1805,7:47,7:51,7:55,8:00,8:04,8:16,8:20,8:26,8:31,,,,
1807,8:47,8:51,8:55,9:00,9:04,9:12,9:16,9:22,9:27,,,,
1811,9:47,9:51,9:55,10:00,10:04,10:12,10:16,10:22,10:27,,,,
1813,10:47,10:51,10:55,11:00,11:04,11:12,11:16,11:22,11:27,,,,
1815,11:47,11:51,11:55,12:00,12:04,12:12,12:16,12:22,12:27,,,,
1817,11:47,11:51,11:55,12:00,12:04,12:12,12:16,12:22,12:27,12:30,12:34,12:38,12:43
1819,12:47,12:51,12:55,13:00,13:04,13:12,13:16,13:22,13:27,,,,
1821,13:47,13:51,13:55,14:00,14:04,14:12,14:16,14:22,14:27,,,,
1823,14:47,14:51,14:55,15:00,15:04,15:12,15:16,15:22,15:27,,,,
1825,15:47,15:51,15:55,16:00,16:04,16:12,16:16,16:22,16:27,,,,
1827,16:47,16:51,16:55,17:00,17:04,17:12,17:16,17:22,17:27,,,,
1831,16:47,16:51,16:55,17:00,17:04,17:12,17:16,17:22,17:27,17:30,17:34,17:38,17:43
1833,17:47,17:51,17:55,18:00,18:04,18:12,18:16,18:22,18:27,,,,
1835,18:47,18:51,18:55,19:00,19:04,19:12,19:16,19:22,19:27,,,,
1837,19:47,19:51,19:55,20:00,20:04,20:12,20:16,20:22,20:27,,,,
1839,19:47,19:51,19:55,20:00,20:04,20:12,20:16,20:22,20:27,20:30,20:34,20:38,20:43
1841,20:47,20:51,20:55,21:00,21:04,21:12,21:16,21:22,21:27,21:30,21:34,21:38,21:43
1843,22:47,22:51,22:55,23:00,23:04,23:12,23:16,23:22,23:27,23:30,23:34,23:38,23:43
1845,7:05,7:09,7:13,7:19,7:24,7:30,7:34,7:40,7:47,7:50,7:54,8:02,8:07
1847,21:47,21:51,21:55,22:00,22:04,22:12,22:16,22:22,22:27,22:30,22:34,22:38,22:43
